strategy_id,createTime,daySaleStrategy,winRate,fetched_query
451746,2025-12-17 09:16:43,2,79.4311,非停牌；非st；周成交量环比增长率大于100%，近3个月的区间涨跌幅小于40%，排除高开3.5%以上，涨幅大于-5%小于5%，主板和创业板， 昨日涨>-5-<5，自由流通市值小于200亿元大于10亿元
451648,2025-12-16 22:23:29,5,79.7311,"社保持股 , 主板，非ST，上市时间大于400天，今日股价涨幅小于9%，股价小于100元，20日的区间涨跌幅<9%，周成交额环比增长率>80%，周成交量增长率>70%，当日没有封板，前一日涨跌幅>0%且<4%，股票近5日的区间涨跌幅<8%，按照成交量排序"
450836,2025-12-13 10:28:30,5,83.0882,"周成交量增长率>100%, 总市值大于等于10亿小于等于100亿，近3天的涨幅小于15%，日涨幅小于 5%，去除 st, 近5日的区间涨跌幅小于10%，近20日的区间涨跌幅小于 10%"
450822,2025-12-13 07:47:30,5,80.9986,"非st,周成交量增长率大于100%，换手率小于20%，市值大于20亿元且市值小于100亿元，当日涨跌幅大于0%小于4%，非科创板，非北交所，周涨跌幅从小到大"
450748,2025-12-12 13:44:57,2,73.6156,主板，非ST，20日的区间涨跌幅<9%，最近3个月的区间涨跌幅<60%，周成交额环比增长率>80%，周成交量增长率>100%，前一日涨跌幅>0%且<4%，股票近5日的区间涨跌幅<8%，流动比率>=1.5，总市值/净资产<2，连续3年的净利润为正，按照成交量排序
450738,2025-12-12 11:51:55,3,74.6713,周成交额环比增长率>80%，最近3个月的区间涨跌幅<60%，涨幅>0%且<5%，非st，主板上市，上市时间大于400天，股价小于100元，昨日的涨跌幅>-3%且昨日的涨跌幅<8%，昨日的自由流通市值>10亿元，5日均线上方，板块正涨幅，按周成交额环比增长率从高到低排序
450648,2025-12-11 21:22:28,2,78.6785,"市值大于10亿小于300亿，周成交额环比增长率大于50%前20名，当日涨幅大于 0 小于5%, 非st，非北交所"
450610,2025-12-11 15:43:06,2,77.7027,"周成交量环比增长率大于105%，上市时间大于1年，近3个月的区间涨跌幅小于30%，周涨跌幅从小到大，排除ST,排除科创板,cci<0；换手率大于1%小于6%，非st的股票"
450044,2025-12-09 14:32:40,2,82.5064,"30日涨跌幅小于30%，换手率小于15%，市值大于30亿，周成交额环比增长率大于50%前20名，排除高开5%以上，当日涨幅＜5%,5日线上方，非st，非科创板，非北交所"
449994,2025-12-09 09:31:53,2,66.8637,周成交额环比增长率>50%，最近3个月的区间涨跌幅<50%，排除高开5%以上，涨幅>0%且<5%，非st，非科创板，非北交所，昨日的涨跌幅>-5%且昨日的涨跌幅<7%，5日均线上方，板块正涨幅
448644,2025-12-03 20:52:54,2,78.4038,总市值大于30亿小于300亿，周成交量环比增长率大于95%，上市时间大于3年，近3个月的区间涨跌幅小于20%，周涨跌幅小到大，排除ST，排除高开3%以上，涨幅大于0%小于5%，排除创业板股票；沪深京主板；
448640,2025-12-03 20:45:32,2,82.3389,周成交量环比增长率大于160%，近3个月的区间涨跌幅小于40.1%，排除高开5%以上，涨幅大于0%小于4.5%，不选ST股
448586,2025-12-03 17:30:39,2,86.7485,流通市值大于5亿，换手率大于2%小于10%，周成交量环比增长率大于100%，上市时间大于1年，近3个月的区间涨跌幅小于30%，非ST，wr20-80，开盘价大于-3%且小于3%，开盘价＜UPPER*100%，昨日涨跌幅从大到小排列
448580,2025-12-03 17:25:58,2,77.3455,非st，周成交量环比增长率大于140%，涨幅小于5%，前一天的涨跌幅从大到小排列
448124,2025-12-02 20:36:34,2,82.9837,换手率排名，20日的区间涨跌幅<10%，非ST，非创业版，非科创版，流通市值小于300亿，周成交量增长率>99%，1<换手率<25%，日涨跌幅>0%且<3.5%，股票近5日的区间涨跌幅<8%，;股价小于20大于3；换手率排序；
448030,2025-12-02 11:27:20,2,85.1142,非ST，主板，市值小于135亿，20日的区间涨跌幅<8%，周成交量增长率>99%，换手率小于20%，日涨跌幅>0%且<3.6%，股票近5日的区间涨跌幅<8%，按照换手率排序
447802,2025-12-01 20:52:08,2,79.805,非ST，主板，20日涨跌幅小于10%，换手率小于11%，市值小于300亿元，周成交量环比增长率大于100%，当日涨幅＜4%，近5日涨跌幅小于8%，股价≥20日均线，股价＞2，股价＜35，股价降序
447020,2025-11-28 19:42:01,2,56.8593,"上市板块包含主板,股票简称不包含st,a股市值(不含限售股)<100亿元,近1周的周成交量增长率>110%,近一周成交量，成交量>昨日成交量*0.5,最近1个月的区间涨跌幅<20%,股价>5日的均线,涨跌幅<5%,收盘价<25元,涨跌幅>0%,换手率<5%；"
446626,2025-11-27 17:01:13,2,76.7171,主板，非st，最近10日的区间涨跌幅<10%，最近6日的区间涨跌幅<5%，涨跌幅>-3%且<2%，周成交量增长率>100%，1%<换手率<10%，流通市值小于100亿，股价<20元，换手率从大到小排列
